District,Area,Post Code,Charge(1kg),Charge(2kg),Charge(3kg),,
Dhaka,Eskaton(Dhaka),1217,69,84,99,,
Dhaka,Moghbazar(Dhaka),1217,69,84,99,,
Dhaka,Mouchak (Malibagh),1217,69,84,99,,
Dhaka,Malibagh (Dhaka),1217,69,84,99,,
Dhaka,Rampura(Dhaka),1219,69,84,99,,
Dhaka,Shahbag(Dhaka),1205,69,84,99,,
Dhaka,Katabon(Dhaka),1205,69,84,99,,
Dhaka,Hatirpool(Dhaka),1205,69,84,99,,
Dhaka,Bashabo(Dhaka),1214,69,84,99,,
Dhaka,Khilgaon(Dhaka),1219,69,84,99,,
Dhaka,Middle Bashabo(Dhaka),1214,69,84,99,,
Dhaka,Goran(Dhaka),1219,69,84,99,,
Dhaka,Madartek(Dhaka),1219,69,84,99,,
Dhaka,Manik Nagar (Dhaka),,69,84,99,,
Dhaka,Shahjahanpur(Dhaka),1214,69,84,99,,
Dhaka,Banasree(Dhaka),1219,69,84,99,,
Dhaka,Meradia(Dhaka),1219,69,84,99,,
Dhaka,Boroitola Bazar (Natun Bazar),,69,84,99,,
Narayanganj,Bhulta (Rupganj),,69,84,99,,
Dhaka,Mugda (Dhaka),1214,69,84,99,,
Dhaka,Golapbag (Dhaka),,69,84,99,,
Dhaka,Jatrabari(Dhaka),1236,69,84,99,,
Dhaka,Hatirjheel Thana (Dhaka),,69,84,99,,
Dhaka,Bangla Motor(Dhaka),1217,69,84,99,,
Dhaka,Paribag(Dhaka),1205,69,84,99,,
Dhaka,Bakshibazar (Puran Dhaka),1100,69,84,99,,
Dhaka,Elephant Road(Dhaka),1205,69,84,99,,
Dhaka,Kathalbagan(Dhaka),1205,69,84,99,,
Dhaka,Malibagh Taltola(Dhaka),1219,69,84,99,,
Dhaka,Central Road(Dhanmodi),1205,69,84,99,,
Dhaka,Sabujbag Thana(Dhaka),1214,69,84,99,,
Dhaka,Habibullah Bahar University(Dhaka),1217,69,84,99,,
Dhaka,Dolaikhal (Puran Dhaka),1100,69,84,99,,
Dhaka,Shegunbagicha (Dhaka),1217,69,84,99,,
Dhaka,Rajarbag police lines(Dhaka),1217,69,84,99,,
Dhaka,Babubazar (Puran Dhaka),1100,69,84,99,,
Dhaka,Islampur(Puran Dhaka),1100,69,84,99,,
Dhaka,Imamgonj (Puran Dhaka),1100,69,84,99,,
Dhaka,Nayabazar  (Dhaka),1100,69,84,99,,
Dhaka,Zigatola(Dhanmodi),1209,69,84,99,,
Dhaka,West Kazipara(Mirpur),1216,69,84,99,,
Dhaka,West Shewrapara(Mirpur),1216,69,84,99,,
Dhaka,Kalshi(Mirpur),1216,69,84,99,,
Dhaka,Sutrapur (Puran Dhaka),1100,69,84,99,,
Dhaka,Kamrangichar(Dhaka),1211,69,84,99,,
Dhaka,Purana Paltan (Dhaka),1000,69,84,99,,
Dhaka,Shyampur(Jatrabari),1204,69,84,99,,
Dhaka,Dholaipar(Puran Dhaka),1236,69,84,99,,
Dhaka,Monipuri Para(Farmgate),1215,69,84,99,,
Dhaka,Bosila Bridge(Dhaka),1207,69,84,99,,
Dhaka,Shonir Akhra(Dhaka),1362,69,84,99,,
Dhaka,Mirpur 2 (Dhaka ),1216,69,84,99,,
Dhaka,Bongshal (Puran Dhaka),1100,69,84,99,,
Dhaka,Siddweswari (Dhaka),1217,69,84,99,,
Dhaka,Nakhalpara (Tejgoan),1208,69,84,99,,
Dhaka,Sector 18 (Uttara),,69,84,99,,
